Model,train_Accuracy,train_Precision,train_Recall,train_F1,train_ROC_AUC,test_Accuracy,test_Precision,test_Recall,test_F1,test_ROC_AUC
LogRegCV — No Scaling,0.9984928409947249,0.9965635738831615,1.0,0.9982788296041308,1.0,0.9759036144578314,0.9724137931034482,0.9724137931034482,0.9724137931034482,0.9987460815047021
LogRegCV — Scaled,1.0,1.0,1.0,1.0,1.0,0.9789156626506024,0.9928571428571429,0.9586206896551724,0.9754385964912281,0.9983035220357737
